Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
1;-13.5120826856;-13.5144784954;0.0023958098;3240;87.0956000000;1;Да
2;-11.2841596065;-11.2845204269;0.0003608205;1530;75.9058000000;2;Да
3;-13.2096856586;-13.2096856586;0.0000000000;180;11.7404000000;1;Да
4;-11.5375051004;-11.5411911605;0.0036860601;2520;233.7805000000;1;Да
5;-9.9669270092;-9.9692908431;0.0023638340;2790;318.0739000000;1;Да
6;-9.1717221083;-9.1801699239;0.0084478156;2970;416.6445000000;1;Да
7;-9.3595626671;-9.3595626671;0.0000000000;180;28.3216000000;1;Да
8;-11.4644012017;-11.4700274136;0.0056262119;1620;315.2851000000;1;Да
9;-11.4058834471;-11.4147084527;0.0088250056;990;196.9918000000;2;Да
10;-12.3560330319;-12.3578948843;0.0018618524;1890;420.1150000000;1;Да
11;-8.2962984528;-8.2981917335;0.0018932807;3060;71.9839000000;1;Да
12;-10.7789300999;-10.7789300999;0.0000000000;180;7.7831000000;1;Да
13;-9.6313016471;-9.6399900770;0.0086884299;1710;119.1482000000;4;Да
14;-10.8414113383;-10.8469109030;0.0054995647;1440;127.4373000000;3;Да
15;-9.9987793313;-9.9987793313;0.0000000000;180;19.1461000000;1;Да
16;-13.2762885584;-13.2775568913;0.0012683328;1260;163.9181000000;1;Да
17;-11.2050009847;-11.2057911797;0.0007901950;2250;380.8176000000;1;Да
18;-8.5521448805;-8.5557420962;0.0035972158;3510;642.3237000000;1;Да
19;-10.8125477424;-11.0805355005;0.2679877581;54090;11687.0786000000;6;Нет
20;-10.8382202115;-10.8415748494;0.0033546379;3600;860.7078000000;1;Да
21;-10.0966138745;-10.0991508406;0.0025369661;1710;50.7724000000;1;Да
22;-8.8154076969;-8.8217055920;0.0062978952;2880;131.5148000000;1;Да
23;-11.2026676773;-11.2043695841;0.0017019069;1350;92.8941000000;1;Да
24;-9.7739379041;-9.7766969907;0.0027590867;270;24.4262000000;1;Да
25;-9.4405015809;-9.4463539444;0.0058523635;1620;176.1962000000;1;Да
26;-9.9137670124;-9.9222461020;0.0084790895;2070;274.9955000000;1;Да
27;-9.3454858739;-9.3530584288;0.0075725550;2070;337.6460000000;3;Да
28;-8.9209593854;-8.9278690672;0.0069096819;1710;299.0145000000;2;Да
29;-11.9704171911;-11.9704171911;0.0000000000;270;57.2334000000;1;Да
30;-11.0535839822;-11.0593027328;0.0057187506;1440;317.5619000000;1;Да
31;-8.9549347638;-8.9607118603;0.0057770966;3690;89.5431000000;1;Да
