Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
0;-4.8316077540;-4.8322090000;0.0006012460;720;0.4877000000;1;Да
1;-6.5886990151;-6.5917279000;0.0030288849;80;0.0560000000;1;Да
2;-3.6920565181;-3.7013586000;0.0093020819;200;0.1613000000;1;Да
3;-3.5219570000;-3.5273993000;0.0054423000;80;0.0797000000;1;Да
4;-3.1052406132;-3.1058619000;0.0006212868;200;0.1318000000;1;Да
5;-3.5232121661;-3.5271897000;0.0039775339;760;0.5712000000;1;Да
6;-4.0586851325;-4.0657159000;0.0070307675;80;0.0797000000;1;Да
7;-7.9718409801;-7.9738591000;0.0020181199;80;0.0762000000;1;Да
8;-5.5123594080;-5.5173577000;0.0049982920;240;0.2458000000;1;Да
9;-4.4134350469;-4.4226380000;0.0092029531;320;0.2317000000;1;Да
10;-5.1968695984;-5.2009862000;0.0041166016;560;0.3643000000;1;Да
11;-5.6455670045;-5.6455680000;0.0000009955;720;0.5417000000;1;Да
12;-3.2851105565;-3.2851820000;0.0000714435;160;0.1307000000;1;Да
13;-3.4395730367;-3.4453584000;0.0057853633;160;0.1297000000;1;Да
14;-2.5690393809;-2.5721949000;0.0031555191;480;0.3872000000;1;Да
15;-4.2769010014;-4.2772750000;0.0003739986;440;0.3711000000;1;Да
16;-6.7144165300;-6.7229990000;0.0085824700;160;0.1160000000;1;Да
17;-4.4911473564;-4.4934972000;0.0023498436;320;0.2069000000;1;Да
18;-5.4890200409;-5.4903502000;0.0013301591;80;0.0539000000;1;Да
19;-4.4146410526;-4.4165716000;0.0019305474;360;0.2376000000;1;Да
20;-4.9742935508;-4.9832269000;0.0089333492;80;0.0595000000;1;Да
21;-5.9605437987;-5.9609228000;0.0003790013;520;0.2533000000;2;Да
22;-3.6022123260;-3.6059743000;0.0037619740;80;0.1201000000;1;Да
23;-4.9229436786;-4.9323366000;0.0093929214;160;0.0818000000;1;Да
24;-4.1244502366;-4.1259241000;0.0014738634;320;0.2156000000;1;Да
25;-4.9024627374;-4.9025323000;0.0000695626;240;0.1147000000;1;Да
26;-3.7605399363;-3.7606622000;0.0001222637;440;0.2393000000;1;Да
27;-6.3785944504;-6.3794960000;0.0009015496;200;0.1754000000;1;Да
28;-5.6152512932;-5.6180349000;0.0027836068;440;0.2178000000;1;Да
29;-6.3347937417;-6.3362730000;0.0014792583;160;0.1079000000;1;Да
30;-5.6660027813;-5.6701149000;0.0041121187;80;0.0520000000;1;Да
31;-4.2723823104;-4.2726825000;0.0003001896;80;0.0583000000;1;Да
32;-6.2396468619;-6.2400447000;0.0003978381;200;0.1712000000;1;Да
33;-5.6410799810;-5.6412926000;0.0002126190;560;0.2996000000;1;Да
34;-6.0530380139;-6.0556099000;0.0025718861;440;0.2861000000;1;Да
35;-4.3411440595;-4.3414874000;0.0003433405;480;0.2513000000;1;Да
36;-5.0112818841;-5.0128140000;0.0015321159;80;0.0434000000;1;Да
37;-5.2069255105;-5.2069678000;0.0000422895;400;0.2184000000;1;Да
38;-5.1753603146;-5.1754492000;0.0000888854;440;0.3589000000;1;Да
39;-4.9101387232;-4.9113082000;0.0011694768;200;0.1535000000;1;Да
40;-4.2701100998;-4.2757455000;0.0056354002;560;0.3559000000;1;Да
41;-6.4862173694;-6.4870908000;0.0008734306;360;0.1892000000;1;Да
42;-4.6696396078;-4.6714884000;0.0018487922;480;0.2459000000;1;Да
43;-4.2658031004;-4.2686199000;0.0028167996;80;0.0533000000;1;Да
44;-3.9640131562;-3.9654999000;0.0014867438;280;0.1539000000;1;Да
45;-4.0546592023;-4.0560675000;0.0014082977;600;0.3392000000;1;Да
46;-4.4151366373;-4.4248785000;0.0097418627;160;0.0906000000;1;Да
47;-4.8087397132;-4.8091230000;0.0003832868;120;0.0806000000;1;Да
48;-4.3583491764;-4.3669624000;0.0086132236;200;0.1954000000;1;Да
49;-2.9023078332;-2.9047295000;0.0024216668;280;0.2648000000;1;Да
50;-5.6564918352;-5.6581201000;0.0016282648;80;0.0462000000;1;Да
51;-3.6161819950;-3.6238098000;0.0076278050;280;0.3124000000;1;Да
52;-6.5212108479;-6.5236384000;0.0024275521;80;0.0519000000;1;Да
53;-5.0566064077;-5.0570996000;0.0004931923;480;0.5818000000;1;Да
54;-5.1272529063;-5.1341580000;0.0069050937;200;0.1102000000;1;Да
55;-4.8567685422;-4.8648660000;0.0080974578;200;0.1575000000;1;Да
56;-3.7140999067;-3.7168243000;0.0027243933;80;0.0780000000;1;Да
57;-6.2479916515;-6.2532653000;0.0052736485;440;0.3809000000;1;Да
58;-6.2754778091;-6.2809902000;0.0055123909;480;0.3024000000;1;Да
59;-3.7908189682;-3.7926806000;0.0018616318;520;0.4003000000;1;Да
60;-4.8579303088;-4.8584142000;0.0004838912;320;0.1632000000;1;Да
61;-3.6302977028;-3.6370223000;0.0067245972;360;0.2425000000;1;Да
62;-5.5690589931;-5.5703205000;0.0012615069;240;0.1833000000;1;Да
63;-3.7591746182;-3.7592320000;0.0000573818;120;0.0814000000;1;Да
64;-4.2752213215;-4.2792850000;0.0040636785;80;0.0337000000;1;Да
65;-4.8538290978;-4.8543428000;0.0005137022;400;0.1717000000;1;Да
66;-4.9194557360;-4.9197012000;0.0002454640;80;0.0312000000;1;Да
67;-6.6048810664;-6.6069352000;0.0020541336;440;0.2574000000;1;Да
68;-6.0343176629;-6.0426252000;0.0083075371;440;0.2698000000;1;Да
69;-4.6260852934;-4.6281102000;0.0020249066;160;0.1852000000;1;Да
70;-4.6852868614;-4.6852932000;0.0000063386;400;0.2087000000;1;Да
71;-5.4101614144;-5.4160978000;0.0059363856;320;0.1382000000;1;Да
72;-4.7204562087;-4.7261335000;0.0056772913;200;0.1329000000;1;Да
73;-4.9299971693;-4.9300394000;0.0000422307;80;0.0498000000;1;Да
74;-4.2943248687;-4.2962862000;0.0019613313;520;0.2183000000;1;Да
75;-4.2684499856;-4.2784434000;0.0099934144;440;0.1634000000;1;Да
76;-6.7568392511;-6.7568395000;0.0000002489;560;0.2281000000;1;Да
77;-3.5731179641;-3.5764797000;0.0033617359;280;0.1315000000;1;Да
78;-6.0333079727;-6.0333208000;0.0000128273;160;0.0664000000;1;Да
79;-4.6620739138;-4.6654138000;0.0033398862;80;0.0329000000;1;Да
80;-4.4595466754;-4.4638313000;0.0042846246;280;0.2313000000;1;Да
81;-5.8329021456;-5.8329816000;0.0000794544;440;0.1823000000;1;Да
82;-6.2385216587;-6.2385279000;0.0000062413;400;0.1490000000;1;Да
83;-4.3495798775;-4.3542366000;0.0046567225;120;0.0480000000;1;Да
84;-4.9314803852;-4.9316001000;0.0001197148;320;0.1702000000;1;Да
85;-4.6242835141;-4.6282123000;0.0039287859;640;0.2659000000;1;Да
86;-4.9079491497;-4.9126833000;0.0047341503;320;0.1195000000;1;Да
87;-3.6437737166;-3.6437750000;0.0000012834;720;0.2870000000;1;Да
88;-4.0533181524;-4.0535090000;0.0001908476;480;0.2759000000;1;Да
89;-5.3901506469;-5.3905113000;0.0003606531;120;0.0458000000;1;Да
90;-4.3940066908;-4.3968682000;0.0028615092;440;0.1975000000;1;Да
91;-4.7161777264;-4.7167144000;0.0005366736;280;0.1124000000;1;Да
92;-5.9954927217;-5.9960588000;0.0005660783;200;0.0786000000;1;Да
93;-4.7784600666;-4.7785063000;0.0000462334;400;0.1798000000;1;Да
94;-3.7248021391;-3.7325601000;0.0077579609;320;0.1263000000;1;Да
95;-5.6094913053;-5.6120610000;0.0025696947;720;0.2688000000;1;Да
96;-5.3749365850;-5.3760784000;0.0011418150;400;0.1510000000;1;Да
97;-6.3562208467;-6.3565662000;0.0003453533;600;0.2227000000;1;Да
98;-3.9091966778;-3.9093383000;0.0001416222;160;0.0606000000;1;Да
99;-5.9631669365;-5.9633166000;0.0001496635;240;0.0927000000;1;Да
100;-5.2047645208;-5.2117342000;0.0069696792;320;0.1226000000;1;Да
101;-5.1271493565;-5.1274634000;0.0003140435;160;0.0628000000;1;Да
102;-5.2117323640;-5.2162527000;0.0045203360;160;0.0606000000;4;Да
103;-4.5608458771;-4.5614470000;0.0006011229;80;0.0741000000;1;Да
104;-4.3284009447;-4.3306148000;0.0022138553;520;0.4703000000;1;Да
105;-5.0626520231;-5.0641809000;0.0015288769;440;0.1782000000;1;Да
106;-4.8792616448;-4.8792617000;0.0000000552;240;0.0947000000;1;Да
107;-3.8456041177;-3.8458713000;0.0002671823;400;0.1554000000;1;Да
108;-4.6122258293;-4.6199992000;0.0077733707;400;0.1638000000;1;Да
109;-4.2962889924;-4.2965346000;0.0002456076;600;0.2354000000;1;Да
110;-4.6160859973;-4.6184172000;0.0023312027;400;0.1589000000;1;Да
111;-5.0694935741;-5.0697345000;0.0002409259;520;0.2076000000;1;Да
112;-7.0765964212;-7.0798866000;0.0032901788;80;0.0348000000;2;Да
113;-3.4129653188;-3.4131418000;0.0001764812;720;0.3309000000;1;Да
114;-5.2037254330;-5.2057321000;0.0020066670;280;0.2149000000;1;Да
115;-4.8020249709;-4.8063300000;0.0043050291;200;0.0984000000;1;Да
116;-3.0240895892;-3.0284604000;0.0043708108;80;0.0761000000;1;Да
117;-5.7283967281;-5.7287332000;0.0003364719;280;0.1490000000;1;Да
118;-3.7510780083;-3.7542768000;0.0031987917;280;0.1792000000;1;Да
119;-5.4541580445;-5.4584688000;0.0043107555;120;0.0733000000;2;Да
120;-4.8961227956;-4.8965694000;0.0004466044;600;0.3819000000;1;Да
121;-3.6070277582;-3.6104093000;0.0033815418;80;0.0537000000;1;Да
122;-5.4907384283;-5.4907594000;0.0000209717;320;0.2668000000;1;Да
123;-3.8921542126;-3.8955468000;0.0033925874;120;0.2669000000;1;Да
124;-5.9423920285;-5.9426632000;0.0002711715;280;0.1721000000;1;Да
125;-4.8729448737;-4.8730101000;0.0000652263;240;0.2763000000;1;Да
126;-3.2817860194;-3.2880810000;0.0062949806;440;0.3189000000;1;Да
127;-5.5361683873;-5.5362072000;0.0000388127;280;0.2489000000;2;Да
128;-6.5394786430;-6.5456396000;0.0061609570;280;0.2715000000;1;Да
129;-4.9809826622;-4.9900539000;0.0090712378;400;0.2366000000;1;Да
130;-7.1623697858;-7.1682661000;0.0058963142;80;0.0338000000;1;Да
131;-4.2209418552;-4.2212301000;0.0002882448;600;0.2587000000;1;Да
132;-6.5082843345;-6.5098920000;0.0016076655;440;0.2630000000;1;Да
133;-5.0756726447;-5.0760431000;0.0003704553;120;0.0627000000;1;Да
134;-5.5643770245;-5.5649985000;0.0006214755;520;0.2862000000;1;Да
135;-4.8237837709;-4.8331092000;0.0093254291;400;0.1868000000;1;Да
136;-3.7233927127;-3.7235125000;0.0001197873;400;0.1588000000;1;Да
137;-6.1533600170;-6.1538582000;0.0004981830;280;0.2962000000;1;Да
138;-5.3523110140;-5.3558916000;0.0035805860;240;0.1091000000;1;Да
139;-3.2265657247;-3.2297067000;0.0031409753;80;0.0435000000;1;Да
140;-3.9193929258;-3.9194675000;0.0000745742;400;0.1566000000;1;Да
141;-3.2838355345;-3.2838907000;0.0000551655;120;0.1355000000;1;Да
142;-5.4722198089;-5.4722482000;0.0000283911;440;0.1888000000;2;Да
